target_bundle,scope_type,scope,method,records,scored_tokens,correct_tokens,token_accuracy,exact_records,exact_record_rate,tie_positions,projected_correct_tokens,a1_correct_tokens,token_delta,projected_accuracy,a1_accuracy,gain_tokens,regression_tokens,both_correct_tokens,both_wrong_tokens,equal_tokens
paired_1,position,68,historical_a1.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
paired_1,position,69,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,70,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,71,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,72,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,73,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,74,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,75,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,76,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,77,historical_a1.cosine,24,6,6,1.0,,,0,,,,,,,,,,
paired_1,position,78,historical_a1.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
paired_1,position,79,historical_a1.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
paired_1,position,80,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,81,historical_a1.cosine,24,6,6,1.0,,,0,,,,,,,,,,
paired_1,position,82,historical_a1.cosine,24,6,6,1.0,,,0,,,,,,,,,,
paired_1,position,83,historical_a1.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
paired_1,position,84,historical_a1.cosine,24,6,6,1.0,,,0,,,,,,,,,,
paired_1,position,85,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,86,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,87,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,88,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,89,historical_a1.cosine,24,6,6,1.0,,,0,,,,,,,,,,
paired_1,position,90,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,91,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,92,historical_a1.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
paired_1,position,93,historical_a1.cosine,24,6,3,0.5,,,0,,,,,,,,,,
paired_1,position,94,historical_a1.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
paired_1,position,95,historical_a1.cosine,24,6,6,1.0,,,0,,,,,,,,,,
paired_1,position,96,historical_a1.cosine,24,6,6,1.0,,,0,,,,,,,,,,
paired_1,position,97,historical_a1.cosine,24,6,6,1.0,,,0,,,,,,,,,,
paired_1,position,98,historical_a1.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
paired_1,position,99,historical_a1.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
paired_1,position,100,historical_a1.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
paired_1,position,101,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,102,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,103,historical_a1.cosine,24,6,5,0.8333333333333334,,,0,,,,,,,,,,
paired_1,position,104,historical_a1.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
paired_1,position,105,historical_a1.cosine,24,6,4,0.6666666666666666,,,0,,,,,,,,,,
