domain,stage,method,proposal_seconds,candidate_branch_simulation_seconds,direct_scoring_seconds,cache_commit_seconds,decode_seconds,adapter_total_seconds,all_invocation_proposal_seconds,all_invocation_candidate_branch_simulation_seconds,all_invocation_direct_scoring_seconds,all_invocation_cache_commit_seconds,all_invocation_decode_seconds,all_invocation_adapter_total_seconds,warmed_total_seconds,designated_candidate_simulations,all_warmup_measured_candidate_simulations,designated_committed_cache_tokens,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,rss_peak_bytes
pile,128,a1_k256,0.18172904895618558,16.187747843010584,0.8171171017893357,8.785417975508608,31.894401047975407,32.08888099898468,0.9277460749726743,64.89380397203786,3.27622777193028,35.41657126562495,128.1604828509444,129.1315199120727,32.119377493989305,1040384,4161536,4096,2454530048,4250927104,4939661312
pile,128,b1_k256,0.2601668060233351,16.196560561060323,0.8152068183408119,8.788615446072072,31.91814947500825,32.193071608955506,1.134729504075949,64.8381680042512,3.282553559591179,35.182929557195166,127.7804408219672,128.95904762795544,32.2235359440092,1040384,4161536,4096,2930551296,4250927104,4939661312
pile,128,b1_k16,0.25762090798525605,11.083158516645199,0.7457071364478907,8.708873054929427,26.489546863973374,26.757518449026975,1.0347934689780232,44.38082285129349,3.015032592578791,34.87451770364714,106.15868231498462,107.2334060620633,26.787777794044814,65024,260096,4096,2930551296,4250927104,4939661312
pile,128,a1_k16,0.17857810499845073,11.062854364630766,0.7469767876755213,8.69037323028897,26.45198076700035,26.641616501947283,0.7187053769885097,44.260296408392605,3.001120419896324,34.83057716880285,105.90545335902425,106.66388136093155,26.67138979199808,65024,260096,4096,2276804608,4250927104,4939661312
pile,128,b1_alone,0.13021522702183574,0.0,0.0,0.0,0.0009363959834445268,0.13868699703016318,0.5327753370656865,0.0,0.0,0.0,0.004066359033458866,0.5685693500126945,0.162619514943799,0,0,0,2393868288,4250927104,4939661312
pile,256,a1_k256,0.1822498030232964,16.267090566674597,0.8252534518105676,8.928789654644788,32.170086537036696,32.36552285600919,0.954754442020203,65.11492297626683,3.3043886926898267,35.88605649235251,128.95160781913728,129.9502673199604,32.39605761808343,1040384,4161536,4096,2454530048,4250927104,4938874880
pile,256,b1_k256,0.26086392207071185,16.219779179722536,0.8152274108724669,8.871418654467561,32.05140448904422,32.32287005901162,1.1265829311741982,64.95364147679356,3.2706504323432455,35.559878844287596,128.32181530202797,129.49232631399354,32.353107052040286,1040384,4161536,4096,2930551296,4250927104,4938874880
pile,256,b1_k16,0.2582321710069664,11.124697323553846,0.7530664959485875,8.804234741910477,26.664031013962813,26.93429370994272,1.039654312946368,44.57324521514238,3.034380282711936,35.264610363869,106.84350942495803,107.92287863591628,26.964103520993376,65024,260096,4096,2930551296,4250927104,4938874880
pile,256,a1_k16,0.17883214696485084,11.118984677959816,0.7608293542871252,8.81555461717653,26.6699340929772,26.858376210031565,0.7173774219991174,44.53266275652277,3.0408809172949987,35.26956348691601,106.70085600893071,107.45807550706377,26.888070441942546,65024,260096,4096,2276804608,4250927104,4938874880
pile,256,b1_alone,0.1313495099893771,0.0,0.0,0.0,0.0009129549725912511,0.13986690496676601,0.5373779349611141,0.0,0.0,0.0,0.00390874691947829,0.5725548109039664,0.16360276202613022,0,0,0,2393868288,4250927104,4938874880
